Entry Id,TÉMA,JMÉNO TEMATICKÉHO CELKU,JMÉNO ZPRACOVATELE,JMÉNO TÉMATICKÉHO CELKU / AKTIVITY,CÍL 1,CÍL 2,CÍL 3,ANOTACE,STUPEŇ,STUPEŇ,STUPEŇ,STUPEŇ,ROČNÍK / TŘÍDA,ROČNÍK / TŘÍDA,ROČNÍK / TŘÍDA,ROČNÍK / TŘÍDA,ROČNÍK / TŘÍDA,ROČNÍK / TŘÍDA,ROČNÍK / TŘÍDA,ROČNÍK / TŘÍDA,ROČNÍK / TŘÍDA,ROČNÍK / TŘÍDA,ROČNÍK / TŘÍDA,VYUČOVACÍ PŘEDMĚT,VYUČOVACÍ PŘEDMĚT,VYUČOVACÍ PŘEDMĚT,VYUČOVACÍ PŘEDMĚT,VYUČOVACÍ PŘEDMĚT,VYUČOVACÍ PŘEDMĚT,VYUČOVACÍ PŘEDMĚT,VYUČOVACÍ PŘEDMĚT,VYUČOVACÍ PŘEDMĚT,VYUČOVACÍ PŘEDMĚT,VYUČOVACÍ PŘEDMĚT,VYUČOVACÍ PŘEDMĚT,VYUČOVACÍ PŘEDMĚT,TÉMA (Ekoškoly),TÉMA (Ekoškoly),TÉMA (Ekoškoly),TÉMA (Ekoškoly),TÉMA (Ekoškoly),TÉMA (Ekoškoly),TÉMA (Ekoškoly),TÉMA (Ekoškoly),TÉMA (Ekoškoly),TÉMA (Ekoškoly),KROKY EKOŠKOLY,KROKY EKOŠKOLY,KROKY EKOŠKOLY,KROKY EKOŠKOLY,KROKY EKOŠKOLY,KROKY EKOŠKOLY,KROKY EKOŠKOLY,ČASOVÁ NÁROČNOST,PROSTŘEDÍ,PROSTŘEDÍ,POČET UČITELŮ NA REALIZACI,FYZICKÁ AKTIVITA,Připojit soubor,Připojit soubor,Poznámka pro nás:,Date Created,Created By,Last Updated,Updated By,IP Address,Last Page Accessed,Completion Status,url
58,Šetrný spotřebitel,Móda,Andrea Tláskalová,Diamant,Žák vyjádří pozitivní a negativní rysy určitého tématu či problému a dívá se na věc z různých hledisek. ,,,"Žáci se naučí pracovat s metodou ""Diamant"", která slouží k stručnému vyjádření pozitivních a negativních rysů určitého tématu či problému a nutí dívat se na věc z různých hledisek. ",,První stupeň ZŠ,Druhý stupeň ZŠ,SŠ,,,,,4. třída ZŠ,5. třída ZŠ,6. třída ZŠ,7. třída ZŠ,8. třída ZŠ,9. třída ZŠ,SŠ,čeština,,,přírodopis,jazyky,ekologie,občanská výchova,chemie,,vlastivěda,přírodověda,fyzika,zeměpis,,,,,,,,,,Metodické rady / obecné modely,,,,,EVVO ve výuce,,,10 min,Uvnitř,Venku,1,1,diamant.pdf, ,,2019-08-08 11:56:04,public,,,78.80.17.69,1,1,https://petra2018.wufoo.com/cabinet/0113af07-dca9-453b-8658-91773c6c2f3d
59,Šetrný spotřebitel,Nakupování a jeho důsledky,Andrea Tláskalová,Nakupování a jeho důsledky,"Žák rozpozná, co vše předchází tomu, aby si mohl přinést do školy svačinu.",Žák vyvodí dopady jednotlivých faktorů výroby na životní prostředí.,Žák vyvodí důsledky pro své jednání (nakupování).,"Žáci se nejprve zamýšlejí, co všechno je potřeba k výrobě jejich svačiny. Poté pracují ve skupinách a skládají řetěz jednotlivých činností, které předcházejí hotové svačině. Pak zkoumají vlastní svačinu z pohledu dopadů na životní prostředí – nároky na dopravu, obal apod.",,První stupeň ZŠ,,,,,2. třída ZŠ,3. třída ZŠ,4. třída ZŠ,5. třída ZŠ,,,,,,čeština,,,,,,,,prvouka,,přírodověda,,,,,,,,Šetrný spotřebitel,,,Jídlo a svět,,,,,,EVVO ve výuce,,,45 min,Uvnitř,,1,1,nakupovani_a_jeho_dusledky_n.pdf, ,,2019-08-08 12:17:49,public,2019-12-20 14:01:14,petra2018,78.80.17.69,1,1,https://petra2018.wufoo.com/cabinet/41beebda-f0e0-4e64-ab73-2f4a27e01644
60,Šetrný spotřebitel,Nakupování a jeho důsledky - 2.st.,Andrea Tláskalová,Nakupování a jeho důsledky - 2.st.,Žák zpracuje na základě textu informaceo dopadu výroby a dovozu vybraných surovin. ,Žák vysvětlí tyto dopady ostatním.,Žák ze získaných informací vyvodí důsledky pro své nákupní chování.,"Hodina je zaměřena na podrobné prozkoumání environmentálních a sociálních dopadů výroby a dovozu čtyř surovin – tantalu, hliníku, palmového oleje a kávy. Žáci nejprve hledají spojitost mezi výrobky, které tyto suroviny obsahují, a poté ve skupinách dávají dohromady, co o těchto surovinách vědí. Metodou skládankového učení se seznámí s dopady spotřeby těchto surovin a vyvodí z toho pro sebe důsledky.",,,Druhý stupeň ZŠ,,,,,,,,6. třída ZŠ,7. třída ZŠ,8. třída ZŠ,9. třída ZŠ,SŠ,čeština,,biologie,přírodopis,,ekologie,občanská výchova,,,,přírodověda,,zeměpis,,,,,,Šetrný spotřebitel,,,,,,,,,EVVO ve výuce,,,45 min,Uvnitř,,1,1,nakupovani_a_jeho_dusledky_2st_n.pdf, ,,2019-08-08 12:36:01,public,2019-12-20 14:00:28,petra2018,78.80.17.69,1,1,https://petra2018.wufoo.com/cabinet/69f9019d-b476-490a-bc01-59a1080fc91b
61,Jídlo a svět,Monitorování a vyhodnocování,Markéta Pézlová,Kameny úrazu,Žáci pojmenují problém a navrhnou řešení.,,,"Jednotlivci pojmenují příčiny toho, co se týmu nedaří (kameny úrazu), ostatní navrhují řešení, která následně společně prodiskutují.",,První stupeň ZŠ,Druhý stupeň ZŠ,SŠ,,,,3. třída ZŠ,4. třída ZŠ,5. třída ZŠ,6. třída ZŠ,7. třída ZŠ,8. třída ZŠ,9. třída ZŠ,SŠ,,,,,,,občanská výchova,,,,,,,,,,,,,,,,Metodické rady / obecné modely,,,,Monitoring,,,,45 min,Uvnitř,Venku,1,2,kameny_razu.pdf, ,"Jako předmět jsem dala občanská výchova, ale je to aktivita pro tým bez oborového cíle, takže by se hodilo spíš něco jako ""třídnická hodina""....",2019-08-13 18:55:10,public,,,37.221.250.127,1,1,https://petra2018.wufoo.com/cabinet/164592d1-fa55-48f9-b90b-1fb89fb67b8a
62,Biodiverzita,Biodiverzita obecně,Andrea Tláskalová,Biodiverzita obecně,"Žák vysvětlí pojem biodiverzita. Žák uvede několik důvodů, proč je biodiverzita pro člověka důležitá.",Žák na příkladu vysvětlí vzájemnou provázanost organismů a prostředí a zhodnotí důsledky jejího narušení.,Žák vybere pro sebe nejdůležitější důvod pro ochranu biodiverzity a zdůvodní jej.,"Na začátku hodiny žáci odhadují význam záhadné sítě. Poté sledují 5minutové video  a na základě videa a textů o propojení jednotlivých organismů zpracují informační plakát o biodiverzitě a její důležitosti, plakáty si vzájemně ohodnotí. Na závěr vytvoří pětilístek k biodiverzitě.",,První stupeň ZŠ,Druhý stupeň ZŠ,,,,,,,5. třída ZŠ,6. třída ZŠ,7. třída ZŠ,8. třída ZŠ,9. třída ZŠ,,čeština,,,přírodopis,,ekologie,,,,,přírodověda,,zeměpis,,,,,,,Biodiverzita,,,,,,,,EVVO ve výuce,,,90 min,Uvnitř,,1,1,biodiverzita_obecn.pdf, ,Učitelé si zvolí pracovní list - text z přílohy podle vhodnosti do jednotlivých ročníků.,2019-08-25 15:37:17,public,,,89.24.42.132,1,1,https://petra2018.wufoo.com/cabinet/d959be36-c286-4cbd-a917-9a3c0143a3b0
63,Biodiverzita,Biodiverzita obecně,Andrea Tláskalová,Kritéria pro tvorbu informačního plakátu,Žáci podle kritérií vytvoří informační plakát pro ostatní,,,Žáci podle kritérií vytvoří informační plakát pro ostatní,,První stupeň ZŠ,Druhý stupeň ZŠ,,,,,,4. třída ZŠ,5. třída ZŠ,6. třída ZŠ,7. třída ZŠ,8. třída ZŠ,9. třída ZŠ,,čeština,,,přírodopis,,ekologie,,,,vlastivěda,přírodověda,,zeměpis,,,,,,,Biodiverzita,,,,,,,,EVVO ve výuce,Informování a spolupráce,,45 min,Uvnitř,,1,1,kritria_pro_tvorbu_plaktu.pdf, ,,2019-08-25 20:33:16,public,,,89.24.42.132,1,1,https://petra2018.wufoo.com/cabinet/7c688600-ea7a-4169-a34a-d41a9697dc62
64,Biodiverzita,Biodiverzita,Andrea Tláskalová,Referát podle kritérií,Žáci podle kritérií vytvoří referát ,,,Žáci podle kritérií vytvoří referát. Vhodné na práci ve škole i domácí přípravu.,,První stupeň ZŠ,Druhý stupeň ZŠ,,,,,,4. třída ZŠ,5. třída ZŠ,6. třída ZŠ,7. třída ZŠ,8. třída ZŠ,9. třída ZŠ,,čeština,,,přírodopis,,ekologie,,,,vlastivěda,přírodověda,,zeměpis,,,,,,,Biodiverzita,Klimatické změny,Jídlo a svět,,,,,,EVVO ve výuce,Informování a spolupráce,,45 min,Uvnitř,,1,1,kritria_pro_tvorbu_refertu.pdf, ,Přišlo mi výhodné upravit kritéria na plakát i pro referáty. Ještě jsem to takhle připravené neviděla a hned to použiju.,2019-08-25 20:37:24,public,,,89.24.42.132,1,1,https://petra2018.wufoo.com/cabinet/4e03ba2f-9480-42c1-ba09-2e9c008ec454
65,Biodiverzita,Biologická rozmanitost a její význam,Andrea Tláskalová,Biologická rozmanitost a její význam,"Student vysvětlí pojem biodiverzita včetně úrovní, na které se vztahuje.",Student posoudí hodnotu biodiverzity z různých hledisek.,"Student vyjádří svůj názor, zda biodiverzitu chránit či ne, a zformuluje pro to vlastní argument.","Tento blok se skládá z dvouhodinovky a volně navazující další vyučovací hodiny. Dvouhodinovka je zaměřená na biodiverzitu obecně, ve třetí vyučovací hodině se studenti seznámí s různými názory na její význam. V prvních dvou hodinách nejprve s pomocí obrázků porovnávají různé podoby diverzity, hlavním úkolem lekce však bude ve skupinách vytvořit heslo o biodiverzitě do internetové encyklopedie Wikipedie, informace a podklady získají studenti z článků a textů. Na závěr studenti své výtvory porovnají se skutečným heslem.Ve třetí hodině studenti nejprve provádějí anketu (3 různé otázky) mezi spolužáky na téma biodiverzita, poté pracují ve skupinách, kde si navzájem představují odpovědi vědců na stejné otázky, jaké si kladli v anketě. Na závěr každý zformuluje svůj argument, zda biodiverzitu chránit či ne a proč.",,,,SŠ,,,,,,,,,,,SŠ,čeština,,biologie,,,ekologie,občanská výchova,,,,,,zeměpis,,,,,,,Biodiverzita,,,,,,,,EVVO ve výuce,,,projekt,Uvnitř,,1,1,biologicka_rozmanitost_a_jeji_vyznam_n.pdf, ,,2019-08-25 20:52:59,public,2019-12-20 13:58:21,petra2018,89.24.42.132,1,1,https://petra2018.wufoo.com/cabinet/d5bbbeb8-c0c3-42fd-9be9-2bdf7b078f1a
66,Biodiverzita,Geneticky modifikované potraviny,Andrea Tláskalová,Geneticky modifikované potraviny,"Student vysvětlí, jak mohou GMO ovlivňovat biodiverzitu.",Student uvede argumenty pro a proti GMO.,Student zformuluje svůj názor na danou problematiku.,"Studenti nejprve diskutují o předem připravených tvrzeních na téma GMO, poté ve skupinách na základě textů vytvoří myšlenkovou mapu vlastností a důsledků GMO. Na závěr zformulují vlastní postoj k dané problematice.",,,,SŠ,,,,,,,,,,,SŠ,čeština,,biologie,,,ekologie,občanská výchova,,,,,,zeměpis,,,,,,,Biodiverzita,,Jídlo a svět,,,,,,EVVO ve výuce,,,90 min,Uvnitř,,1,1,gmo.pdf, ,,2019-08-25 21:05:33,public,,,89.24.42.132,1,1,https://petra2018.wufoo.com/cabinet/72578446-c081-411b-a239-68ec82abd960
67,Biodiverzita,Invazní druhy,Andrea Tláskalová,Invazní druhy,Žák vysvětlí pojem invazní druh. Formuluje hypotézu (příp. otázku) o vlastnostech invazních druhů.,"Žák najde odpovědi na danou otázku na základě pozorování vybraných organismů a vyhledání informací v literatuře. Popíše, v čem spočívá nebezpečí invazních druhů.","Žák uvede příklad z vlastního života, kdy ses invazním druhem setkal, a navrhne možnosti, jak nebezpečí invaze předcházet.","Toto téma je naplánováno na dvě vyučovací hodiny ve třídě, na které doporučujeme navázat terénním průzkumem (viz projekt Invazní rostliny). V první hodině se žáci nejprve v roli vědců pokusí navrhnout hypotézu, jaké vlastnosti musí mít invazní rostliny či živočichové, aby byli úspěšní. Ve druhé hodině na textech o jednotlivých druzích své hypotézy ověří a představí ostatním na „vědecké konferenci“. Poté vyvodí obecné vlastnosti invazních druhů a možnosti, jak se nebezpečí bránit či mu předcházet.",,,Druhý stupeň ZŠ,SŠ,,,,,,,6. třída ZŠ,7. třída ZŠ,8. třída ZŠ,9. třída ZŠ,SŠ,čeština,,biologie,přírodopis,,ekologie,,,,,,,zeměpis,,,,,,,Biodiverzita,Klimatické změny,,,,,,,EVVO ve výuce,,,projekt,Uvnitř,Venku,1,2,invazn_druhy.pdf, ,,2019-08-25 21:17:22,public,,,89.24.42.132,1,1,https://petra2018.wufoo.com/cabinet/ee573159-3789-4c5e-afe2-416e82ee32ee
68,Biodiverzita,Invazní rostliny - projekt,Andrea Tláskalová,Invazní druhy - projekt,Student zmapuje okolí školy se zaměřením na invazní rostliny.,Student navrhne možná řešení zjištěného problému s výskytem invazních rostlin.,"Student rozliší úrovně, na nichž je možné problém řešit.","Žáci zmapují okolí školy a zjistí, kde se jaké invazní rostliny nacházejí. Navrhnou řešení pro různé úrovně (jednotlivec, škola, obec…), jak problém s invazními rostlinami řešit.",,,Druhý stupeň ZŠ,SŠ,,,,,,,6. třída ZŠ,7. třída ZŠ,8. třída ZŠ,9. třída ZŠ,SŠ,čeština,,biologie,přírodopis,,ekologie,,,,,,,zeměpis,,,,,,,Biodiverzita,Klimatické změny,,,,,,Monitoring,EVVO ve výuce,,,projekt,Uvnitř,Venku,1,1,projekt__invazn_rostliny.pdf, ,,2019-08-25 21:27:54,public,,,89.24.42.132,1,1,https://petra2018.wufoo.com/cabinet/9b5224fb-4ee1-4a56-96a2-c8bdf747410e
69,Biodiverzita,Přírodní rozmanitost obecně,Andrea Tláskalová,Přírodní rozmanitost obecně,Žák na příkladu (část zahrady) vyhledá propojení vztahů mezi jednotlivými organismy v přírodě.,"Žák na základě vlastní zkušenosti zdůvodní, proč je přírodní rozmanitost pro člověka důležitá.",Žák vícero smysly prozkoumá malý úsek prostoru v přírodě a svůj prožitek reﬂektuje.,"Výuka tohotu bloku se skládá ze tří vyučovacích hodin. Na úvodní dvouhodinovku volně navazuje třetí hodina. První a druhá hodina jsou spíše prožitkové, určené na ven (do zahrady). Žáci budou v jednotlivých aktivitách různými smysly prožívat a zkoumat zahradu. V závěru sami vytvoří z přírodnin vlastní malou zahrádku. Třetí hodina je zaměřená více na informace o přírodní rozmanitosti a její důležitosti. Žáci budou pracovat s popisy jednotlivých organismu žijících na zahradě a vytvářet mezi nimi propojení a vztahy dle vzájemné závislosti.",,První stupeň ZŠ,Druhý stupeň ZŠ,,,,,,4. třída ZŠ,5. třída ZŠ,6. třída ZŠ,7. třída ZŠ,8. třída ZŠ,9. třída ZŠ,,,,,přírodopis,,ekologie,,,,,přírodověda,,zeměpis,,,,Prostředí školy,,,Biodiverzita,,,,,,,,EVVO ve výuce,,,projekt,Uvnitř,Venku,1,2,prodn_rozmanitost_obecn_n.pdf, ,,2019-08-25 21:35:26,public,2019-12-20 13:57:26,petra2018,89.24.42.132,1,1,https://petra2018.wufoo.com/cabinet/1ee27620-7aa2-4855-ba26-5d83248c72ac
70,Biodiverzita,Různé podoby zahrady,Andrea Tláskalová,Různé podoby zahrady,"Žák objeví vztah mezi stavem ekosystému (udržovaná  a „přírodní“ zahrada) a činností člověka (popíše, co člověk musí dělat, aby měl daný ekosystém svou podobu).",Žák na různých příkladech úpravy zahrady porovná přírodní rozmanitost.,Žák uvede výhody a nevýhody jednotlivých úprav zahrady z různých hledisek.,"Hodinám předchází domácí úkol zaměřený na pozorování zahrad v okolí školy. Hodiny jsou zaměřené na rozdíly mezi tzv. „udržovanou“ a „přírodní“ zahradou. Žáci v 1. hodině prozkoumají školní zahradu se zaměřením na biodiverzitu a v 2. hodině navrhnou úpravy jednotlivých míst tak, aby v zahradě mohlo žít větší množství různých organismů.",,První stupeň ZŠ,Druhý stupeň ZŠ,,,,,,4. třída ZŠ,5. třída ZŠ,6. třída ZŠ,7. třída ZŠ,,,,,,,přírodopis,,ekologie,,,,,přírodověda,,,,,,Prostředí školy,,,Biodiverzita,,,,,,,,EVVO ve výuce,,,90 min,Uvnitř,Venku,1,2,rzn_podoby_zahrady_n.pdf, ,,2019-08-25 21:57:51,public,2019-12-20 13:56:11,petra2018,89.24.42.132,1,1,https://petra2018.wufoo.com/cabinet/0cf1bb7e-8e85-4371-8772-a4a77bf2737b
71,Biodiverzita,Pyramida života,Andrea Tláskalová,Pyramida života,Zprostředkovat dětem příjemné prožitky v přírodě a společně je reflektovat.,,,"Žáci si vylosují předem připravené kartičky s názvy zahradních rostlin a živočichů, každý žák představuje to, co si vybral. Žáci ze sebe mají vytvořit pyramidu s pomocí instrukcí učitele tak, aby představovali vzájemnou závislost: rostliny – býložravci – masožravci – vrcholový predátor. ",,První stupeň ZŠ,,,,,2. třída ZŠ,3. třída ZŠ,4. třída ZŠ,5. třída ZŠ,,,,,,,,,,,ekologie,,,prvouka,,přírodověda,,,,,,,,,Biodiverzita,,,,,,,,EVVO ve výuce,,,10 min,,Venku,1,2,pyramida_ivota.pdf, ,,2019-08-26 20:46:59,public,,,89.24.42.132,1,1,https://petra2018.wufoo.com/cabinet/41e46ea7-cd9d-4148-a4f1-6aba888d8dc5
72,Biodiverzita,Můj obraz,Andrea Tláskalová,Můj obraz,Hlavním cílem je zprostředkovat dětem příjemné prožitky v přírodě a společně je reﬂektovat.,,,V této aktivitě jsou děti vedeny k soustředěnému pozorování přírody všemi smysly za pomoci papírového rámečku.,,První stupeň ZŠ,,,,,2. třída ZŠ,3. třída ZŠ,4. třída ZŠ,5. třída ZŠ,,,,,,,,,,,ekologie,,,prvouka,,přírodověda,,,,,,,,,Biodiverzita,,,,,,,,EVVO ve výuce,,,30 min,,Venku,1,1,mj_obraz.pdf, ,,2019-08-26 20:58:43,public,,,89.24.42.132,1,1,https://petra2018.wufoo.com/cabinet/70988d9a-5a7f-41f0-8a8a-d88a210f0bdc
73,Biodiverzita,Tvoříme zahradu snů,Andrea Tláskalová,Tvoříme zahradu snů,Hlavním cílem je zprostředkovat dětem příjemné prožitky v přírodě a společně je reﬂektovat.,,,"Žáci si ve skupinkách nebo dvojicích (ale pokud chtějí, mohou i samostatně) najdou nějaký malý prostor o rozměru asi papíru A3 a na něm vytvoří zahradu z přírodnin podle svých představ a fantazie. ",,První stupeň ZŠ,,,,1. třída ZŠ,2. třída ZŠ,3. třída ZŠ,4. třída ZŠ,5. třída ZŠ,,,,,,,,,,,ekologie,,,prvouka,,přírodověda,,,,,,,,,Biodiverzita,,,,,,,,EVVO ve výuce,,,45 min,,Venku,1,2,tvome_zahradu_sn.pdf, ,,2019-08-26 21:14:26,public,,,89.24.42.132,1,1,https://petra2018.wufoo.com/cabinet/f1afba03-1121-4d5a-8e2c-0d10c778459a
74,Biodiverzita,Síť života,Andrea Tláskalová,Síť života,Hlavním cílem je díky přírodní rozmanitosti zprostředkovat dětem příjemné prožitky v přírodě a společně je reﬂektovat.,,,"Žáci vytvoří síť života ze sebe, případně jen s pomocí obrázků. Vyzveme jednu dvojici, ať začne, představí svůj organismus a obrázek dá na zem doprostřed kruhuči nalepí na tabuli. Pokračuje další dvojice, jejíž organismus se může nějak přidat k již uvedeným. Poté se jednotlivé organismy krátce představí a zdůvodní, proč se spojili právě se sousedním druhem. Po představení všech můžete shrnout, že každý druh je v přírodě důležitý, nejen pro přírodu, ale i pro člověka, a že se propojenému množství druhů v přírodě říká přírodní rozmanitost. ",,První stupeň ZŠ,,,,1. třída ZŠ,2. třída ZŠ,3. třída ZŠ,4. třída ZŠ,5. třída ZŠ,,,,,,,,,,,ekologie,,,prvouka,,přírodověda,,,,,,,,,Biodiverzita,,,,,,,,EVVO ve výuce,,,45 min,,Venku,1,1,s_ivota.pdf, ,,2019-08-26 21:31:03,public,,,89.24.42.132,1,1,https://petra2018.wufoo.com/cabinet/0aa00639-9f59-4d72-a2eb-b1fae0fff652
75,Klimatické změny,Klimatické změny a biodiverzita,Andrea Tláskalová,Klimatické změny a biodiverzita,"Student na konkrétním příkladu z ČR vysvětlí vliv klimatických změn na biodiverzitu (např. proměna druhové skladby a četnosti našich ptáků, rozšíření areálů určitých druhů, invazní druhy).",Student navrhne několik hypotéz o dopadech klimatických změn na biodiverzitu.,Student reﬂektuje své myšlenkové postupy.,"Téma zabere dvě vyučovací hodiny. Blok předpokládá, že studenti vědí, co je biodiverzita a jaký je její význam. Mají základní informace o měnícím se klimatu a jeho důsledcích. Výukový blok propojuje téma biodiverzity a klimatických změn s reﬂexí vědeckých postupů. Studenti se nejprve sami pokoušejí na základě domýšlení důsledků odhadnout možné dopady klimatických změn na biodiverzitu. Poté sledují krátkou ukázku z dokumentárního ﬁlmu Horko v Česku a ověřují na příkladu rozšíření klíštěte své úvodní hypotézy. Následuje individuální čtení odborného textu o vlivu klimatických změn na biodiverzitu u nás. Na závěr si žáci zapíší konkrétní dopady a jako domácí úkol své poznatky z hodiny převedou do podoby populárně-vědeckého či novinového článku.",,,,SŠ,,,,,,,,,,,SŠ,čeština,,biologie,,,ekologie,občanská výchova,,,,,,zeměpis,,,,,,,Biodiverzita,Klimatické změny,,,,,,,EVVO ve výuce,,,90 min,Uvnitř,,1,1,klima_a_biodiverzita.pdf, ,,2019-08-26 21:46:15,public,,,89.24.42.132,1,1,https://petra2018.wufoo.com/cabinet/b4590b16-553d-4cd9-994f-59d364a6f42f
76,Klimatické změny,Klima a doprava,Andrea Tláskalová,Klima a doprava,"Žák/student formuluje vlastní výzkumnou otázku, navrhne metody sběru dat pro její zodpovězenía realizuje výzkum na téma vliv dopravy na klima.",Na základě průzkumu veřejného mínění žáci navrhnou obci možná opatření pro sníže- ní emisí skleníkových plynů z dopravy v dané obci.,,Toto téma žáci/studenti zpracují formou výzkumného projektu. Budou zkoumat znalosti a postoje vybrané skupiny lidí k vlivu dopravy na klimatické změny. Téma žáci/studenti zpracují formou výzkumného projektu. Budou zkoumat znalosti a postoje vybrané skupiny lidí k vlivu dopravy na klimatické změny.,,,Druhý stupeň ZŠ,SŠ,,,,,,,,7. třída ZŠ,8. třída ZŠ,9. třída ZŠ,SŠ,,,biologie,přírodopis,,ekologie,občanská výchova,,,,,,,,,,,Doprava,,,Klimatické změny,,,,,,,EVVO ve výuce,,,projekt,Uvnitř,Venku,1,2,klima_a_doprava.pdf, ,,2019-08-26 21:54:18,public,,,89.24.42.132,1,1,https://petra2018.wufoo.com/cabinet/87d211ef-1458-44b2-acc5-973a3d84e95f
77,Klimatické změny,Klima a energie,Andrea Tláskalová,Klima a energie,Žák na příkladu spalování dřeva a uhlí popíše koloběh uhlíku v přírodě.,Žák porovná vliv spalování dřeva a uhlí na klima.,,"V úvodní části hodiny se žáci zamýšlí nad výhodami a nevýhodami kamen na dřevo a na uhlí. Větší část hodiny zabere simulační hra ke koloběhu uhlíku, v které jednotliví žáci představují atomy uhlíku a kolují po stanovištích dle popisu na kartičkách. Poté společně s vyučujícím nakreslí na základě toho, co všechno se ve hře dozvěděli, schéma koloběhu uhlíku. V závěru si každý nakreslí své schéma, v kterém znázorní rozdíly mezi používáním dřeva a uhlí.Hodina předpokládá, že žáci znají princip a roli skleníkového efektu (viz hodina v tématu Skleníkový efekt).",,První stupeň ZŠ,,,,,,,4. třída ZŠ,5. třída ZŠ,,,,,,,,,,,ekologie,,,,,přírodověda,,,,Energie,,,,,,Klimatické změny,,,,,,,EVVO ve výuce,,,90 min,Uvnitř,,1,2,klima_a_energie.pdf, ,,2019-08-26 22:00:17,public,,,89.24.42.132,1,1,https://petra2018.wufoo.com/cabinet/3ca51817-128e-4104-a031-2d5e4111b99f
78,Klimatické změny,Klima a energie - 2.stupeň,Andrea Tláskalová,Klima a energie - 2.stupeň,Žák uvede a rozliší obnovitelné a neobnovitelné zdroje energie užívané v ČR k výrobě elektřiny.,Žák vlastními slovy či graﬁckým znázorněním vyjádří rozdíl mezi obnovitelnými a neobnovitelnými zdroji. ,Žák uvede výhody a nevýhody jednotlivých obnovitelných i neobnovitelných zdrojů elektřiny a jejich vliv na klima.,"Lekce je rozdělena na dvě části odehrávající se během tříhodinového bloku. V první části po krátké evokaci žáci hrají ve skupinách strategickou deskovou hru – jejich úkolem je zvolit a do mapy zakreslit zvolené druhy elektráren tak, aby splnili podmínky hry (objem peněz, výkon, čas). V závěru první části proběhne společná reﬂexe hry a strategií jednotlivých skupin. V druhé části žáci porovnají své mapy se skutečným rozmístěním a počtem jednotlivých druhů elektráren u nás. Vyučující krátce doplní výkladem o obnovitelných a neobnovitelných zdrojích, následuje společná diskuse o výhodách a nevýhodách jednotlivých zdrojů. V závěru bloku žáci rozpracují dopis na energetickou konferenci, v kterém zdůvodní svá stanoviska k jednotlivým energetickým zdrojům.",,,Druhý stupeň ZŠ,,,,,,,,,,8. třída ZŠ,9. třída ZŠ,,čeština,,,přírodopis,,ekologie,občanská výchova,,,,,,,,Energie,,,,,,Klimatické změny,,,,,,,EVVO ve výuce,,,projekt,Uvnitř,,1,1,klima_a_energie2_n.pdf, ,,2019-08-26 22:06:08,public,2019-12-20 13:54:53,petra2018,89.24.42.132,1,1,https://petra2018.wufoo.com/cabinet/74ed045b-f0a5-453e-bc1d-217814af0934
79,Klimatické změny,Klima a odpady,Andrea Tláskalová,Klima a odpady,"Žák vysvětlí, jak spolu souvisí plastové obaly a klimatické změny.",Žák uvede alternativy plastových obalů s menším dopadem na klima.,,Žáci nejprve seřadí přinesené nápojové obaly dle jejich vlivu na životní prostředí. Poté se pokusí pro jeden zvolený typ obalu nakreslit schéma jeho životního cyklu na základě vlastních představ a znalostí. Schéma poté upraví či přetvoří dle informací k jednotlivým druhům obalů. Následuje společná diskuse a shrnutí s pomocí grafu o dopadech jednotlivých druhů obalů. Získané poznatky žáci na závěr zpracují na visačku k vybranému obalu.,,,Druhý stupeň ZŠ,,,,,,,,6. třída ZŠ,7. třída ZŠ,8. třída ZŠ,9. třída ZŠ,,čeština,,,přírodopis,,ekologie,občanská výchova,,,,,,,Odpady,,,,,,,Klimatické změny,,,,,,,EVVO ve výuce,,,90 min,Uvnitř,,1,1,klima_a_odpady_n.pdf, ,,2019-08-26 22:12:27,public,2019-12-20 13:52:41,petra2018,89.24.42.132,1,1,https://petra2018.wufoo.com/cabinet/8b4a9ed3-e837-4e58-9fff-d42fddbc6bf4
80,Klimatické změny,Klima a prostředí,Andrea Tláskalová,Klima a prostředí,"Student stručně a jasně shrne informace o evropské iniciativě ""Úmluva primátorů a starostů"" a prezentuje je vedení obce v místě svého bydliště či školy.","Student na základě průzkumu obce navrhne nízkonákladová opatření, která by vedlake snížení emisí CO2 v obci.",,"Studenti zpracují téma prostředí a klimatických změn prostřednictvím práce na projektu, zaměřeného na informování zastupitelstva o možnosti připojení obce k Úmluvě primátorů a starostů, která sdružuje města snažící se o snižování emisí CO2.Navrhujeme zde pouze úvodní hodinu projektu, v které se studenti seznámí se smyslem Úmluvy a příklady opatření v jednom ze zapojených měst (Stuttgart). Poté ve skupinách vymýšlí základní návrh toho, jak by projekt mohl vypadat. V následující hodině skupiny své návrhy představí a pokusí se shodnout na podobě projektu.Další postup by měl být ponechán co nejvíce na studentech, učitel zůstává v roli koordinátora a pomocníka (při řešení sporů, organizaci apod.) a stanovuje závazné termíny pro projekt.",,,,SŠ,,,,,,,,,,,SŠ,čeština,,biologie,,,ekologie,občanská výchova,,,,,,,,,,,,,,Klimatické změny,,,,,,,EVVO ve výuce,,,projekt,Uvnitř,,1,1,klima_a_prosted.pdf, ,,2019-08-31 15:08:12,public,,,89.24.42.132,1,1,https://petra2018.wufoo.com/cabinet/90f4d6c9-f2f4-4abd-b058-bb656cec08bf
